date,county,quantile,hosp_census_with_covid,hosp_census_for_covid,cases,Rt
2021-12-07,Total,0.05,0,0,15.6344002825263,1.58693110362148
2021-12-07,Total,0.5,4.66884212918797,2.80130527751278,28.5365370266331,1.72364657346736
2021-12-07,Total,0.95,10.0872110548599,6.05232663291593,42.7289255512923,1.86667380515918
2021-12-08,Total,0.05,0,0,21.5120261662447,1.58760461541481
2021-12-08,Total,0.5,4.84191880183358,2.90515128110015,35.2608354195145,1.7243096902902
2021-12-08,Total,0.95,11.0083588830015,6.60501532980089,49.5741921366733,1.86774973164384
2021-12-09,Total,0.05,0,0,24.2762164123516,1.58833310194413
2021-12-09,Total,0.5,4.71414843379915,2.82848906027949,37.9817365451133,1.72504282239366
2021-12-09,Total,0.95,10.3871521752707,6.23229130516241,52.9947010461837,1.86882281562715
2021-12-10,Total,0.05,0,0,26.3411395472927,1.58899454973809
2021-12-10,Total,0.5,4.91926023810998,2.95155614286599,39.9691776207095,1.72585310978373
2021-12-10,Total,0.95,11.1393218480233,6.68359310881399,55.6300839072514,1.86980699520416
2021-12-11,Total,0.05,0,0,27.4352775229372,1.5895681528328
2021-12-11,Total,0.5,4.70039227413434,2.82023536448061,41.4653840030555,1.72638854315083
2021-12-11,Total,0.95,10.9949651198484,6.59697907190903,57.5291951648637,1.87068251445536
2021-12-12,Total,0.05,0,0,28.4516957735818,1.59004157153248
2021-12-12,Total,0.5,4.94773288992782,2.96863973395669,42.5554366130452,1.7268960293342
2021-12-12,Total,0.95,10.7786067657943,6.46716405947659,59.1313527311837,1.87143500656487
2021-12-13,Total,0.05,0,0,29.4986129328263,1.59040496112822
2021-12-13,Total,0.5,5.00815323882614,3.00489194329568,43.7337493051488,1.72718668484372
2021-12-13,Total,0.95,10.6276751741729,6.37660510450374,60.4364038896087,1.87204909136575
2021-12-14,Total,0.05,0,0,30.5802595273375,1.59064673746587
2021-12-14,Total,0.5,5.32882728693813,3.19729637216288,45.1324366881949,1.72739262091011
2021-12-14,Total,0.95,10.9908713107319,6.59452278643913,62.3102760948585,1.87248855872124
2021-12-15,Total,0.05,0,0,31.8605816541992,1.59075423919597
2021-12-15,Total,0.5,5.17000106920584,3.10200064152351,46.4517535797368,1.72718561807676
2021-12-15,Total,0.95,11.2820286068353,6.76921716410119,64.2324341600636,1.87272444028716
2021-12-16,Total,0.05,0,0,32.910549635553,1.59071346988921
2021-12-16,Total,0.5,5.15614411322402,3.09368646793441,47.7033877053304,1.72678423223577
2021-12-16,Total,0.95,10.6562848556052,6.39377091336314,67.0565773854226,1.87275309687373
2021-12-17,Total,0.05,0,0,33.837070794233,1.59050900158341
2021-12-17,Total,0.5,5.0542830942496,3.03256985654976,49.0729496039549,1.72634423237223
2021-12-17,Total,0.95,10.9649081262886,6.57894487577316,69.413049238703,1.87255530200151
2021-12-18,Total,0.05,0,0,34.6996269911483,1.59012383858084
2021-12-18,Total,0.5,4.74936803401689,2.84962082041013,50.4864635827707,1.72595910975775
2021-12-18,Total,0.95,11.5503897353031,6.93023384118186,71.9596378272448,1.87210289357848
2021-12-19,Total,0.05,0,0,35.8891454798094,1.58953927937858
2021-12-19,Total,0.5,5.24751955735082,3.14851173441049,52.000608028159,1.72508668139228
2021-12-19,Total,0.95,10.4887483954046,6.29324903724275,75.0371516989357,1.87136427820428
2021-12-20,Total,0.05,0,0,36.5589658909105,1.588842878006
2021-12-20,Total,0.5,5.24285226260157,3.14571135756094,53.7981850222818,1.72401401582347
2021-12-20,Total,0.95,10.9776630608798,6.58659783652787,78.9069929939232,1.87030405485902
2021-12-21,Total,0.05,0,0,37.1191232560421,1.58818397465513
2021-12-21,Total,0.5,4.77831382822693,2.86698829693616,56.2159130912799,1.72298217024258
2021-12-21,Total,0.95,10.8641590304923,6.51849541829535,82.8246697423032,1.86825051770968
2021-12-22,Total,0.05,0,0,38.2375272153822,1.58644489459884
2021-12-22,Total,0.5,5.27694038065882,3.16616422839529,58.6551939483096,1.72125971989934
2021-12-22,Total,0.95,11.3144873555572,6.78869241333429,88.4308868861788,1.86572090315757
2021-12-23,Total,0.05,0,0,39.9234537850605,1.58465122880256
2021-12-23,Total,0.5,4.80605685073449,2.8836341104407,62.5671016461708,1.71901058055312
2021-12-23,Total,0.95,10.6232401303378,6.37394407820269,94.594678532059,1.86327925453623
2021-12-24,Total,0.05,0,0,41.8402557323097,1.8257956331364
2021-12-24,Total,0.5,5.05673678449999,3.03404207069999,66.737774615488,2.08827809707968
2021-12-24,Total,0.95,10.6817993977543,6.40907963865259,102.321635185592,2.39632138979531
2021-12-25,Total,0.05,0,0,49.4783775541588,1.82029070913645
2021-12-25,Total,0.5,4.6045661108828,2.76273966652968,80.1018737713185,2.08329117471246
2021-12-25,Total,0.95,10.3420575299365,6.2052345179619,120.437407078571,2.39106751456202
2021-12-26,Total,0.05,0,0,55.9735652459079,1.81378631188735
2021-12-26,Total,0.5,4.75302250758373,2.85181350455024,90.9918984164309,2.07711563314403
2021-12-26,Total,0.95,10.7241373811649,6.43448242869894,136.383200583877,2.3838297533907
2021-12-27,Total,0.05,0,0,63.9503065760397,1.80621378439552
2021-12-27,Total,0.5,4.89950225624005,2.93970135374403,103.887245032657,2.07041059118037
2021-12-27,Total,0.95,10.810005713338,6.48600342800283,155.254978715799,2.37532513559619
2021-12-28,Total,0.05,0,0,73.1788807952496,1.79932430506141
2021-12-28,Total,0.5,4.7191022703341,2.83146136220046,119.151058121199,2.06195180826639
2021-12-28,Total,0.95,10.4377131711283,6.26262790267699,176.919444716132,2.36727369712177
2021-12-29,Total,0.05,0,0,84.7987932202592,1.79139211280879
