county,end of holidays,restrictions lifted,BA.2,BA.2.12,BA.5,BQ.1.1 and BQ.1,XBB.1.5,maybe testing,?,?,V11
Los Angeles,0.847455607469022,1.2461660786093,1.22482905889798,1.00428826568474,1.09526270395812,1.33143277956271,1.24772729447224,0.718252144189933,0.70632357090805,0.645107503478004,1.00300444939977
San Diego,0.822511848879108,1.17519146810994,1.30854168369993,1.08677211823374,1.10850098214245,1.29029979444475,1.23070689080971,0.770506356992473,0.703749434419817,0.711467857361571,1.01234927353556
Orange,0.762911585753922,1.29281982623339,1.21302601609165,1.00545782792701,1.11155732086152,1.36604089230394,1.24281955883604,0.762471763729613,0.674801991735036,0.7133109452831,0.998910739592039
Riverside,0.873879644756727,1.19763937382444,1.48477942397964,1.18353118881751,1.10836485330065,1.45012032226182,1.27884616977235,0.758830842353434,0.636219967430859,0.727524653285676,1.0023455832911
San Bernardino,0.903726279961502,1.13047566767397,1.4317891724957,1.21838044400355,1.00935365378858,1.42473687723633,1.29786028973,0.925636232577933,0.686049052697423,0.707418672618994,1.00016767253616
Santa Clara,0.700419451473845,1.15309955842162,1.1984241565124,1.00202502852071,1.17003633354473,1.10994985109889,1.03264936034294,0.841491860250871,0.751370055059276,0.70285521758208,1.00197039837687
Alameda,0.694733563385084,1.22485283603904,1.17428589240295,1.00159334280141,1.11296261972462,1.20893158473207,1.07835691299518,0.860519170234404,0.750238400575286,0.696682661637945,1.00456841181939
Sacramento,0.799946910476037,1.18498055077613,1.23562518640916,1.00144307483247,1.07313615966691,1.12703136439183,1.02120319403721,0.859165572572352,0.736164925462114,0.747865347919945,1.00022869117739
Contra Costa,0.720736359338336,1.28321555523618,1.12560740321811,1.00087778828648,1.14613033365479,1.08347236963907,1.04254500412162,0.884710737808797,0.795717293604539,0.764526805495718,1.00234788122057
Fresno,0.776366679837109,1.08172568819888,1.22592216551524,1.08444631015809,1.06465690070137,1.25608474535501,1.03402827832604,0.856576922684659,0.727132054738294,0.732082297155742,0.996877448742262
Kern,0.814187084966223,1.30237516500711,1.22628822761586,1.04668829212251,1.12645671664105,1.16028843580593,1.03068013605994,0.747418678866113,0.71801395774299,0.701217255912057,1.002670839717
Ventura,0.789016834805128,1.25843502999952,1.32324852493913,1.00695367579555,1.05593538601528,1.28941208580552,1.01324411579277,0.815882261080624,0.723822832014711,0.762305852625157,0.999654614649254
SFresidents,0.627977018521303,1.25371322524679,1.13284884959294,1.00111015846099,1.20264042195003,1.10531901255962,1.11577969654619,0.883836288187449,0.830916004254143,0.760629698808226,0.999884257903719
San Mateo,0.694182294042456,1.23833827439105,1.1004804211524,1.00148024800377,1.10526585063779,1.14593128025008,1.11247052632043,0.850156817355557,0.770745650744239,0.688840533172799,1.00446718620553
San Joaquin,0.893658329735034,1.31799073666287,1.28562607773304,1.00346748315651,1.11896215621952,1.3648397804184,1.29695015189887,0.749834341675892,0.642993323324154,0.610407112459594,0.995312180132079
Stanislaus,0.813937728929957,1.17479359356292,1.17189001040154,1.11488349002835,1.05722419056529,1.15676589650634,1.01346967817058,0.786298106334873,0.690855124832645,0.75733984069395,0.998804189562933
Sonoma,0.647386758358279,1.25893986629675,1.03713910455246,1.00089228019413,1.11793938223207,1.09675688390651,1.07573741020637,0.876197068764039,0.793705380449716,0.756911329591025,0.996633945953987
Tulare,0.861418236259695,1.0785321907005,1.3334061771088,1.06475866016306,1.05480168726626,1.1766564528364,1.13185777366244,0.877085097272209,0.726826356353747,0.781220648527286,0.99978609924975
Santa Barbara,0.808311879978557,1.15281715976431,1.17706553922521,1.00412912868456,1.06555283488255,1.2169438118017,1.00326592115265,0.884607033318017,0.746943631412348,0.790505539401349,0.997955155338999
Solano,0.748618693796948,1.20139021901333,1.1481985548788,1.00678130852153,1.07221519392951,1.13775168831185,1.05039979429714,0.901182377342771,0.788528770951911,0.758024599950793,1.00215879382828
Monterey,0.858822615463754,1.19669916869109,1.11974610133865,1.01203879098913,1.1403131878316,1.00202364163128,1.06263638459024,0.829754874531764,0.739082287214296,0.763918685092756,1.00344205854478
Placer,0.803623395779201,1.12786770152535,1.18517818439489,1.011984969522,1.05651002380466,1.14786746499486,1.08054565549204,0.88707597948996,0.761415050349769,0.795485913978357,1.00771271000936
San Luis Obispo,0.827069682814715,1.08855943167444,1.24212545968166,1.01901246061098,1.07662046925319,1.00603268228806,1.0030358008512,0.918399771750542,0.787137434843058,0.802496870885785,0.999743631553638
Santa Cruz,0.744723434364973,1.0150953799889,1.08783872618894,1.02075452314981,1.04759908706709,1.14688882260067,1.16758311094967,0.917252736438208,0.730396461984715,0.769052845291928,1.00166932861812
Merced,0.817138691092947,1.35309302387542,1.21538589978358,1.07618632793257,1.09319262245006,1.22044516378561,1.18853464803974,0.784662503247546,0.68105748620103,0.749497184195382,0.996949579186018
